ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600941.SH,20220105,63.0,63.58,57.75,57.88,57.58,0.3,0.521,2553654.09,15259495.685
600941.SH,20220106,57.88,59.33,57.58,58.0,57.88,0.12,0.2073,1161576.82,6731421.684
600941.SH,20220107,57.8,58.06,57.59,57.62,58.0,-0.38,-0.6552,638811.65,3687982.659
600941.SH,20220110,57.7,59.49,57.68,58.8,57.62,1.18,2.0479,753268.58,4402100.218
600941.SH,20220111,58.6,59.12,57.93,58.09,58.8,-0.71,-1.2075,347005.78,2030028.651
600941.SH,20220112,58.29,58.29,57.8,58.11,58.09,0.02,0.0344,256171.32,1484862.94
600941.SH,20220113,58.01,58.01,57.78,57.81,58.11,-0.3,-0.5163,246450.18,1426048.442
600941.SH,20220114,57.71,57.8,57.61,57.65,57.81,-0.16,-0.2768,240190.49,1385033.375
600941.SH,20220117,57.65,57.72,57.59,57.6,57.65,-0.05,-0.0867,268155.85,1544964.783
600941.SH,20220118,57.6,57.73,57.59,57.62,57.6,0.02,0.0347,207740.21,1196931.883
600941.SH,20220119,57.6,57.62,57.58,57.58,57.62,-0.04,-0.0694,373089.15,2148398.656
600941.SH,20220120,57.59,57.71,57.58,57.63,57.58,0.05,0.0868,231803.32,1335238.843
600941.SH,20220121,57.61,57.62,57.58,57.58,57.63,-0.05,-0.0868,191844.25,1104712.93
600941.SH,20220124,57.68,58.73,57.64,58.19,57.58,0.61,1.0594,297097.78,1724572.861
600941.SH,20220125,57.9,58.03,57.59,57.59,58.19,-0.6,-1.0311,184368.17,1063494.095
600941.SH,20220126,57.59,58.0,57.58,57.63,57.59,0.04,0.0695,188212.05,1086086.079
600941.SH,20220127,57.6,57.66,57.58,57.58,57.63,-0.05,-0.0868,339783.77,1956625.176
600941.SH,20220128,57.59,57.61,57.58,57.58,57.58,0.0,0.0,290080.49,1670419.33
600941.SH,20220207,57.7,58.41,57.7,58.15,57.58,0.57,0.9899,247549.31,1437546.474
600941.SH,20220208,58.22,62.5,58.22,61.3,58.15,3.15,5.417,393452.89,2383895.933
600941.SH,20220209,60.8,67.43,60.7,67.43,61.3,6.13,10.0,512442.9,3334124.379
600941.SH,20220210,68.0,68.4,64.46,66.0,67.43,-1.43,-2.1207,421814.36,2792374.407
600941.SH,20220211,65.51,67.47,64.9,66.61,66.0,0.61,0.9242,275673.57,1823478.191
600941.SH,20220214,66.48,67.61,63.8,64.01,66.61,-2.6,-3.9033,227587.54,1488716.256
600941.SH,20220215,63.93,64.65,62.5,62.9,64.01,-1.11,-1.7341,159994.25,1014408.908
600941.SH,20220216,63.28,64.35,62.76,63.5,62.9,0.6,0.9539,158605.82,1006268.766
600941.SH,20220217,63.6,64.57,61.44,61.88,63.5,-1.62,-2.5512,182827.27,1145192.284
600941.SH,20220218,61.47,63.05,61.3,62.8,61.88,0.92,1.4867,123453.53,769923.003
600941.SH,20220221,62.98,64.1,62.68,63.53,62.8,0.73,1.1624,142663.67,904737.562
