ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601228.SH,20170329,2.75,3.3,2.75,3.3,2.29,1.01,44.1,1589.38,522.625
601228.SH,20170330,3.63,3.63,3.63,3.63,3.3,0.33,10.0,1106.34,401.601
601228.SH,20170331,3.99,3.99,3.99,3.99,3.63,0.36,9.92,1681.52,670.926
601228.SH,20170405,4.39,4.39,4.39,4.39,3.99,0.4,10.03,1234.5,541.946
601228.SH,20170406,4.83,4.83,4.83,4.83,4.39,0.44,10.02,1740.45,840.637
601228.SH,20170407,5.31,5.31,5.31,5.31,4.83,0.48,9.94,3328.29,1767.322
601228.SH,20170410,5.84,5.84,5.84,5.84,5.31,0.53,9.98,4209.58,2458.395
601228.SH,20170411,6.42,6.42,6.42,6.42,5.84,0.58,9.93,6359.5,4082.799
601228.SH,20170412,7.06,7.06,7.06,7.06,6.42,0.64,9.97,4577.35,3231.609
601228.SH,20170413,7.77,7.77,7.77,7.77,7.06,0.71,10.06,6991.91,5432.714
601228.SH,20170414,8.55,8.55,8.55,8.55,7.77,0.78,10.04,17456.87,14925.624
601228.SH,20170417,9.41,9.41,9.41,9.41,8.55,0.86,10.06,359937.42,338701.112
601228.SH,20170418,9.8,10.35,9.58,10.35,9.41,0.94,9.99,2793300.72,2829817.687
601228.SH,20170419,10.5,11.18,9.91,10.04,10.35,-0.31,-3.0,3669287.25,3846827.068
601228.SH,20170420,9.81,11.04,9.52,10.82,10.04,0.78,7.77,3334948.72,3543045.108
601228.SH,20170421,10.25,10.38,9.74,9.74,10.82,-1.08,-9.98,2488976.89,2476643.204
601228.SH,20170424,9.08,9.19,8.77,8.77,9.74,-0.97,-9.96,1155221.77,1020886.549
601228.SH,20170425,8.44,9.25,8.43,8.82,8.77,0.05,0.57,1552597.78,1381005.725
601228.SH,20170426,8.74,9.39,8.73,9.36,8.82,0.54,6.12,1788887.29,1621157.722
601228.SH,20170427,9.2,10.3,9.02,10.3,9.36,0.94,10.04,2837599.18,2795822.705
601228.SH,20170428,10.2,10.36,9.91,10.07,10.3,-0.23,-2.23,2046101.03,2068399.841
601228.SH,20170502,10.11,10.59,10.02,10.19,10.07,0.12,1.19,1654534.26,1691865.086
601228.SH,20170503,10.35,11.21,10.25,11.21,10.19,1.02,10.01,2701518.3,2947960.595
601228.SH,20170504,10.95,11.62,10.55,11.29,11.21,0.08,0.71,2806973.77,3085471.584
601228.SH,20170505,11.0,11.27,10.18,10.23,11.29,-1.06,-9.39,2026783.81,2180985.061
601228.SH,20170508,10.0,10.23,9.36,9.46,10.23,-0.77,-7.53,1517149.61,1480065.299
601228.SH,20170509,9.4,9.89,9.24,9.87,9.46,0.41,4.33,1179607.59,1139167.727
601228.SH,20170510,9.92,10.09,9.31,9.35,9.87,-0.52,-5.27,1343695.07,1298415.309
601228.SH,20170511,9.05,9.85,8.8,9.73,9.35,0.38,4.06,1300735.09,1214425.34
601228.SH,20170512,9.61,10.45,9.42,10.12,9.73,0.39,4.01,1916717.98,1924594.904
601228.SH,20170515,10.12,10.32,9.78,9.84,10.12,-0.28,-2.77,1441273.43,1447834.669
601228.SH,20170516,9.63,9.91,9.28,9.87,9.84,0.03,0.3,1184150.71,1141706.901
601228.SH,20170517,9.76,10.78,9.69,10.32,9.87,0.45,4.56,2050265.14,2110528.081
601228.SH,20170518,10.06,10.35,9.93,10.0,10.32,-0.32,-3.1,1206196.99,1219947.47
601228.SH,20170519,9.92,10.2,9.7,9.85,10.0,-0.15,-1.5,898539.55,893684.652
601228.SH,20170522,9.75,9.83,9.16,9.22,9.85,-0.63,-6.4,972653.82,918794.844
601228.SH,20170523,9.24,9.48,8.94,9.11,9.22,-0.11,-1.19,799828.27,738502.069
601228.SH,20170524,9.12,9.39,8.67,9.28,9.11,0.17,1.87,888499.7,808091.432
601228.SH,20170525,9.17,9.25,8.97,9.13,9.28,-0.15,-1.62,739516.97,673650.764
