ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603833.SH,20170328,72.12,72.12,72.12,72.12,50.08,22.04,44.01,136.33,983.212
603833.SH,20170329,79.33,79.33,79.33,79.33,72.12,7.21,10.0,69.96,554.993
603833.SH,20170330,87.26,87.26,87.26,87.26,79.33,7.93,10.0,96.96,846.073
603833.SH,20170331,95.99,95.99,95.99,95.99,87.26,8.73,10.0,605.25,5809.795
603833.SH,20170405,105.59,105.59,105.59,105.59,95.99,9.6,10.0,1754.53,18526.082
603833.SH,20170406,110.0,116.15,105.6,116.15,105.59,10.56,10.0,133857.29,1505257.116
603833.SH,20170407,119.6,125.18,112.42,113.99,116.15,-2.16,-1.86,148097.69,1761114.544
603833.SH,20170410,109.0,117.02,108.01,114.99,113.99,1.0,0.88,90947.44,1030472.157
603833.SH,20170411,111.2,114.2,106.0,108.76,114.99,-6.23,-5.42,75655.38,831264.915
603833.SH,20170412,110.11,110.99,101.38,102.21,108.76,-6.55,-6.02,65645.38,697542.329
603833.SH,20170413,100.1,107.26,100.06,105.93,102.21,3.72,3.64,60814.05,640546.96
603833.SH,20170414,104.4,105.3,102.4,102.94,105.93,-2.99,-2.82,29602.11,306631.985
603833.SH,20170417,99.62,105.32,99.1,104.06,102.94,1.12,1.09,39596.94,409989.247
603833.SH,20170418,104.36,109.9,104.08,106.2,104.06,2.14,2.06,39080.21,420215.308
603833.SH,20170419,105.48,109.31,104.2,107.62,106.2,1.42,1.34,31533.89,338806.751
603833.SH,20170420,107.68,110.7,105.22,106.56,107.62,-1.06,-0.98,38981.62,422196.815
603833.SH,20170421,105.8,107.8,103.85,106.02,106.56,-0.54,-0.51,25809.43,273342.895
603833.SH,20170424,104.97,107.79,102.11,106.59,106.02,0.57,0.54,26025.4,275368.335
603833.SH,20170425,106.11,108.68,106.11,107.39,106.59,0.8,0.75,16811.42,180952.297
603833.SH,20170426,107.0,110.5,106.41,109.42,107.39,2.03,1.89,24489.88,267940.353
603833.SH,20170427,108.93,109.71,105.12,108.47,109.42,-0.95,-0.87,19955.46,214513.847
603833.SH,20170428,108.11,109.8,104.88,105.58,108.47,-2.89,-2.66,21163.02,226460.689
603833.SH,20170510,104.0,110.0,101.31,106.64,105.58,1.06,1.0,37567.81,402813.977
603833.SH,20170511,105.0,106.64,104.0,105.15,106.64,-1.49,-1.4,17188.09,181195.649
603833.SH,20170512,105.05,106.33,102.21,103.86,105.15,-1.29,-1.23,15947.82,166587.962
603833.SH,20170515,103.6,106.19,103.6,105.19,103.86,1.33,1.28,13850.08,146146.991
603833.SH,20170516,104.85,106.08,103.55,105.69,105.19,0.5,0.48,16668.99,174422.104
603833.SH,20170517,104.68,109.99,104.68,108.93,105.69,3.24,3.07,24944.35,271479.567
603833.SH,20170518,108.0,112.78,107.99,110.97,108.93,2.04,1.87,30408.53,337779.266
603833.SH,20170519,111.0,113.0,109.51,111.16,110.97,0.19,0.17,15469.19,172550.194
603833.SH,20170522,111.0,114.1,109.02,109.37,111.16,-1.79,-1.61,22912.2,257518.147
603833.SH,20170523,108.77,111.49,106.0,106.62,109.37,-2.75,-2.51,14086.3,152086.248
603833.SH,20170524,105.3,111.99,104.6,111.66,106.62,5.04,4.73,20968.23,228475.688
603833.SH,20170525,111.6,111.7,107.18,108.91,111.66,-2.75,-2.46,16560.07,180076.918
603833.SH,20170526,108.8,109.4,106.0,108.02,108.91,-0.89,-0.82,10857.13,117031.421
603833.SH,20170531,110.0,111.0,107.5,108.04,108.02,0.02,0.02,16491.04,179463.673
603833.SH,20170601,107.0,107.8,103.87,104.17,108.04,-3.87,-3.58,12450.57,131284.003
603833.SH,20170602,103.95,105.92,103.52,105.09,104.17,0.92,0.88,8206.55,86032.681
603833.SH,20170605,105.6,107.19,104.0,105.24,105.09,0.15,0.14,12454.94,130819.385
603833.SH,20170606,105.28,107.1,104.2,107.0,105.24,1.76,1.67,10982.64,116038.989
603833.SH,20170607,107.0,112.25,106.15,110.69,107.0,3.69,3.45,21589.85,238596.531
603833.SH,20170608,109.78,120.0,109.7,116.43,110.69,5.74,5.19,27539.84,318640.853
603833.SH,20170609,115.15,117.55,114.01,117.09,116.43,0.66,0.57,14014.43,162665.515
603833.SH,20170612,116.63,119.9,114.55,116.19,117.09,-0.9,-0.77,17649.5,206497.785
603833.SH,20170613,114.72,116.22,112.91,114.57,116.19,-1.62,-1.39,11919.55,136224.743
603833.SH,20170614,114.43,116.89,112.91,115.14,114.57,0.57,0.5,10332.93,118163.35
